trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,13,-7.346577503812195,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,0,-92.12428904798314,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,-59.93270470184688,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",35,0,-29.307680024146023,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,11,-17.114680408318492,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,14,-29.67005282023682,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,15,15.058438672435003,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",35,5,-120.36846045098429,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,0,10.287260052709208,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,0,-32.135812120113265,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.475340042005707}",35,8,-33.33352583772114,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,0,-0.5600307630905894,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",20,0,-32.25864923259547,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",30,5,-31.494747693335093,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",30,7,-37.158707855392784,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",25,7,-15.048441326299754,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,2,-35.07039832450305,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",30,9,-8.689790491986107,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,0,-97.44188751953492,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",20,0,-90.76951614162985,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",20,12,-42.294157662181505,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",20,0,-67.58933979384251,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",20,8,20.763751119068015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",25,19,11.396297006165144,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",20,0,-48.46614341882706,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",25,0,-5.914317780083359,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",20,5,-81.68728707662105,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",25,7,15.462312855892172,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
