trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
240,False,"{'a': 0.5, 'e': 0.08962861870232469}",20,14,-9.42142894660608,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08873233251530144}",20,9,-3.0860808210603916,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08784500919014843}",30,17,2.920194822310033,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08696655909824694}",25,2,-10.201993047244809,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.5, 'e': 0.08609689350726446}",25,14,21.78253506913277,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08523592457219181}",30,5,17.225680522125174,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.0843835653264699}",20,2,-11.11690034573788,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.0835397296732052}",35,17,37.39883922630048,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.08270433237647315}",35,20,-14.890610802925817,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
249,False,"{'a': 0.5, 'e': 0.08187728905270841}",20,0,16.566539805825236,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
250,False,"{'a': 0.5, 'e': 0.08105851616218133}",35,19,12.47253409061575,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.08024793100055952}",20,3,30.31949409466175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.07944545169055392}",25,0,9.723896771891017,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
253,False,"{'a': 0.5, 'e': 0.07865099717364837}",25,17,-27.137630475668683,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
254,False,"{'a': 0.5, 'e': 0.07786448720191189}",20,8,18.54660402161957,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.07708584232989277}",30,8,-59.38710533495957,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 1}",1
256,False,"{'a': 0.5, 'e': 0.07631498390659384}",20,0,29.53012341075164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
257,False,"{'a': 0.5, 'e': 0.07555183406752791}",30,22,16.644747511860338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
